ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
4096,4096,407.99,0,0.00,0.000,0,0.00,0
8192,4096,382.76,0,0.00,0.000,0,0.00,0
16384,8192,353.87,0,0.00,0.000,0,0.00,0
32768,16384,340.26,0,0.00,0.000,0,0.00,0
65536,32768,334.05,0,0.00,0.000,0,0.00,0
