ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,716.08,64,26.90,45.914,63,27.03,183560284
6144,4096,687.39,64,26.67,48.752,63,26.83,312617052
10240,4096,692.78,64,26.98,50.461,63,27.17,441673820
14336,4096,689.13,64,26.57,66.099,63,26.92,570730588
18432,4096,686.60,64,27.52,45.003,63,27.65,699787356
22528,4096,679.51,64,26.29,86.641,63,26.86,828844124
26624,4096,676.28,64,26.16,108.701,63,26.99,957900892
30720,4096,680.04,64,26.16,66.167,63,26.50,0
32768,2048,667.83,64,27.37,48.558,63,27.55,0
