ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,694.43,128,27.84,61.149,127,28.04,183560284
6144,4096,688.65,128,28.03,43.502,127,28.11,312617052
10240,4096,692.57,128,28.01,54.228,127,28.16,441673820
14336,4096,687.99,128,27.99,48.378,127,28.11,570730588
18432,4096,689.89,128,27.85,48.053,127,27.96,699787356
22528,4096,688.32,128,27.82,53.681,127,27.97,828844124
26624,4096,681.79,128,27.72,49.591,127,27.83,957900892
30720,4096,676.99,128,27.74,57.773,127,27.92,0
32768,2048,632.46,128,27.81,51.107,127,27.95,0
